Block,Preview,Name,Link,,,,
P1-7A,../../assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile stack higher res 2_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile stack higher res 2_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-5,,,,
P1-7A,../../assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile stack_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile stack_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-6,,,,
P1-7A,../../assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-7,,,,
P1-7A,../../assets/thumbnails/P1-7A-optical-clearing/P1_7A2_stack NY CD31 INS no KRT_Maximum intensity projection_thumbnail.png,P1_7A2_stack NY CD31 INS no KRT_Maximum intensity projection.czi,/optical-clearing/P1/P1-7A/P1-7A-8,,,,
P1-7A,../../assets/thumbnails/P1-7A-optical-clearing/P1_7A2_stack NY CD31 INS no KRT_thumbnail.png,P1_7A2_stack NY CD31 INS no KRT.czi,/optical-clearing/P1/P1-7A/P1-7A-9,,,,
P1-7A,../../assets/thumbnails/P1-7A-optical-clearing/P1_7A2_stack NY KRT CD31 INS stack_thumbnail.png,P1_7A2_stack NY KRT CD31 INS stack.czi,/optical-clearing/P1/P1-7A/P1-7A-10,,,,
P1-7A,../../assets/thumbnails/P1-7A-optical-clearing/P1_7A2_tile scan CD31 INS_thumbnail.png,P1_7A2_tile scan CD31 INS.czi,/optical-clearing/P1/P1-7A/P1-7A-11,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A2 top rows scan CD31 555 INS 680_thumbnail.png,P1_4A2 top rows scan CD31 555 INS 680.czi,/optical-clearing/P1/P1-4A/P1-4A-1,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A2_CD31 555_thumbnail.png,P1_4A2_CD31 555.czi,/optical-clearing/P1/P1-4A/P1-4A-2,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A2_CD31_555_INS_680 stack_thumbnail.png,P1_4A2_CD31_555_INS_680 stack.czi,/optical-clearing/P1/P1-4A/P1-4A-3,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection_thumbnail.png,P1_4A2_GCG_KRT19_CD31_INS_2  stack_Maximum intensity projection.czi,/optical-clearing/P1/P1-4A/P1-4A-4,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection_thumbnail.png,P1_4A_1_stack_KRT19_555_INS_680.czi,/optical-clearing/P1/P1-4A/P1-4A-5,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A_1_stack_KRT19_555_INS_680_thumbnail.png,P1_4A_1_stack_KRT19_555_INS_680_Maximum intensity projection.czi,/optical-clearing/P1/P1-4A/P1-4A-6,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch_thumbnail.png,P1_4A_1_tile_Nuclear_KRT19_555_INS_647_2_Stitch.czi,/optical-clearing/P1/P1-4A/P1-4A-7,,,,
P1-4A,../../assets/thumbnails/P1-4A-optical-clearing/P1_4A_GCG_KRT19_CD31_INS stack adj_thumbnail.png,P1_4A_GCG_KRT19_CD31_INS stack adj.czi,/optical-clearing/P1/P1-4A/P1-4A-8,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2 07A 03 LYVE NCAM INS stack2_Maximum intensity projection_c1+2+3_thumbnail.png,P2 07A 03 LYVE NCAM INS stack2_Maximum intensity projection_c1+2+3.jpg,/optical-clearing/P2/P2-7A/P2-7A-1,,,,
P2-7A,../../assets/thumbnails/P2-7A-optical-clearing/P2 07A 03 Lyve NCAM stack 2x_thumbnail.png,P2 07A 03 Lyve NCAM stack 2x.avi,/optical-clearing/P2/P2-7A/P2-7A-2,,,,
