Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
22,396,380.5,17.5,50,53,35,True,-1.84738,,-1.61775,-0.324529,-0.704157,-0.102385,-1.48912
67,396,380.5,52.5,50,53,35,True,-1.74591,,-1.52089,0.681403,-0.740187,,-1.65402
112,396,380.5,87.5,50,53,35,True,-1.6977,,-1.46026,2.67374,-0.443747,,-1.53381
157,396,380.5,122.5,50,53,35,False,0.547747,,0.4107,,0.899143,,0.208186
31,396,433.5,17.5,50,53,35,True,-1.44261,-1.4,-0.763427,-0.214494,1.12667,,-1.05026
76,396,433.5,52.5,50,53,35,True,-1.46493,,-0.997618,1.00506,-0.130861,,-1.57178
121,396,433.5,87.5,50,53,35,True,-0.218523,,-1.32714,-0.0312925,-0.198487,,-0.647768
166,396,433.5,122.5,50,53,35,False,0.566535,,0.924962,,0.425201,,-0.162854
40,396,486.5,17.5,50,53,35,True,0.80502,,0.0,,-0.109915,,0.124064
85,396,486.5,52.5,50,53,35,True,0.238391,,0.512045,-1.91335,0.836346,,0.416752
130,396,486.5,87.5,50,53,35,False,0.969217,,0.0802349,,0.940144,,-0.575672
175,396,486.5,122.5,50,53,35,False,0.628838,,1.08912,,0.427505,,0.117479
5,446,274.5,17.5,50,53,35,True,-1.77051,,-1.99768,0.442303,-0.0175238,,-1.44295
50,446,274.5,52.5,50,53,35,True,-0.276438,,-0.450534,-0.606445,-1.10305,,-1.31574
95,446,274.5,87.5,50,53,35,True,0.163203,,-0.240516,0.00207218,-0.893259,,-0.369694
140,446,274.5,122.5,50,53,35,False,0.518972,,0.529343,-1.40167,0.430309,,0.216876
14,446,327.5,17.5,50,53,35,True,-2.51951,,-2.79167,-0.000310401,-1.54521,,-1.52423
59,446,327.5,52.5,50,53,35,True,-1.79439,,-2.41525,0.458508,-0.526474,,-1.18079
104,446,327.5,87.5,50,53,35,True,-1.93907,,-2.04836,0.444871,-0.368851,,-1.97971
149,446,327.5,122.5,50,53,35,True,-0.504244,,0.283384,-1.00363,0.19275,,-2.15519
23,446,380.5,17.5,50,53,35,True,-1.95179,,-3.05846,-0.241067,-2.08807,-0.653101,-2.63998
68,446,380.5,52.5,50,53,35,True,-1.8204,,-2.49346,0.481251,-0.742326,-0.422085,-2.17512
113,446,380.5,87.5,50,53,35,True,-1.71464,,-3.22522,-0.684052,0.422239,,-1.53721
