Block ID,X Center,Y Center,Z Center,X Size,Y Size,Z Size,Category,CYB5A,SOD1,CA2,RBP4,ALB,TF,CAT
19,270.999,354.0,0.0,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,221.0,406.999,0.0,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,270.999,406.999,0.0,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,221.0,354.0,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,270.999,354.0,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,221.0,406.999,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
19,270.999,406.999,34.998999999999995,50,53,35,False,0.80502,,-0.751643,,-0.784461,,0.885003
64,221.0,354.0,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,354.0,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,221.0,406.999,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,406.999,35.0,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,221.0,354.0,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,354.0,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,221.0,406.999,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
64,270.999,406.999,69.999,50,53,35,False,0.654695,,0.273328,,-0.135355,,0.795796
109,221.0,354.0,70.0,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
109,270.999,354.0,70.0,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
109,221.0,406.999,70.0,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
109,270.999,406.999,70.0,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
109,221.0,354.0,104.999,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
109,270.999,354.0,104.999,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
109,221.0,406.999,104.999,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
109,270.999,406.999,104.999,50,53,35,False,0.881249,,-0.643257,,-0.78811,,0.77652
154,221.0,354.0,105.0,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
154,270.999,354.0,105.0,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
154,221.0,406.999,105.0,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
154,270.999,406.999,105.0,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
154,221.0,354.0,139.999,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
154,270.999,354.0,139.999,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
154,221.0,406.999,139.999,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
154,270.999,406.999,139.999,50,53,35,False,0.159911,,-0.000419434,,-0.427556,,0.243218
28,221.0,407.0,0.0,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
28,270.999,407.0,0.0,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
28,221.0,459.999,0.0,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
28,270.999,459.999,0.0,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
28,221.0,407.0,34.998999999999995,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
28,270.999,407.0,34.998999999999995,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
28,221.0,459.999,34.998999999999995,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
28,270.999,459.999,34.998999999999995,50,53,35,False,-0.0237165,,0.702926,,-0.309208,,0.616232
73,221.0,407.0,35.0,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
73,270.999,407.0,35.0,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
73,221.0,459.999,35.0,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
73,270.999,459.999,35.0,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
73,221.0,407.0,69.999,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
73,270.999,407.0,69.999,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
73,221.0,459.999,69.999,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
73,270.999,459.999,69.999,50,53,35,False,0.021493,,-0.205612,,0.700968,,0.277606
118,221.0,407.0,70.0,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
118,270.999,407.0,70.0,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
118,221.0,459.999,70.0,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
118,270.999,459.999,70.0,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
118,221.0,407.0,104.999,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
118,270.999,407.0,104.999,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
118,221.0,459.999,104.999,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
118,270.999,459.999,104.999,50,53,35,False,0.890391,,-0.670028,,-0.22853,,0.402488
163,221.0,407.0,105.0,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
163,270.999,407.0,105.0,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
163,221.0,459.999,105.0,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
163,270.999,459.999,105.0,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
163,221.0,407.0,139.999,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
163,270.999,407.0,139.999,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
163,221.0,459.999,139.999,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
163,270.999,459.999,139.999,50,53,35,False,0.843841,,-0.24054,,-0.326954,,-0.371501
37,221.0,460.0,0.0,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
37,270.999,460.0,0.0,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
37,221.0,512.999,0.0,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
37,270.999,512.999,0.0,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
37,221.0,460.0,34.998999999999995,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
37,270.999,460.0,34.998999999999995,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
37,221.0,512.999,34.998999999999995,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
37,270.999,512.999,34.998999999999995,50,53,35,False,0.649476,,1.17345,,0.180816,,0.792348
82,221.0,460.0,35.0,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
82,270.999,460.0,35.0,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
82,221.0,512.999,35.0,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
82,270.999,512.999,35.0,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
82,221.0,460.0,69.999,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
82,270.999,460.0,69.999,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
82,221.0,512.999,69.999,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
82,270.999,512.999,69.999,50,53,35,False,-0.106935,,0.225758,,0.106788,,0.414063
127,221.0,460.0,70.0,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
127,270.999,460.0,70.0,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
127,221.0,512.999,70.0,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
127,270.999,512.999,70.0,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
127,221.0,460.0,104.999,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
127,270.999,460.0,104.999,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
127,221.0,512.999,104.999,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
127,270.999,512.999,104.999,50,53,35,False,-0.120018,,0.401833,,0.169444,,1.13457
172,221.0,460.0,105.0,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
172,270.999,460.0,105.0,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
172,221.0,512.999,105.0,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
172,270.999,512.999,105.0,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
172,221.0,460.0,139.999,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
172,270.999,460.0,139.999,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
172,221.0,512.999,139.999,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
172,270.999,512.999,139.999,50,53,35,False,0.872023,,0.0545315,,-0.679875,,0.212001
2,271.0,248.0,0.0,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
2,320.999,248.0,0.0,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
2,271.0,300.999,0.0,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
2,320.999,300.999,0.0,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
2,271.0,248.0,34.998999999999995,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
2,320.999,248.0,34.998999999999995,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
2,271.0,300.999,34.998999999999995,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
2,320.999,300.999,34.998999999999995,50,53,35,False,0.814864,,0.0990336,,-0.959506,0.029052,1.31657
47,271.0,248.0,35.0,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
47,320.999,248.0,35.0,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
47,271.0,300.999,35.0,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
47,320.999,300.999,35.0,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
47,271.0,248.0,69.999,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
47,320.999,248.0,69.999,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
47,271.0,300.999,69.999,50,53,35,False,-0.0948196,,0.289959,,1.00086,,0.527779
