Preview,Name,Link
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_CD31 INS tile and stack_Stitch_thumbnail.png,P1_7A2_CD31 INS tile and stack_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-1
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS higher res_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS higher res_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-2
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile 2_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile 2_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-3
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile 3_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile 3_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-4
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile stack higher res 2_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile stack higher res 2_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-5
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile stack_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile stack_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-6
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_KRT CD31 INS tile_Stitch_thumbnail.png,P1_7A2_KRT CD31 INS tile_Stitch.czi,/optical-clearing/P1/P1-7A/P1-7A-7
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_stack NY CD31 INS no KRT_Maximum intensity projection_thumbnail.png,P1_7A2_stack NY CD31 INS no KRT_Maximum intensity projection.czi,/optical-clearing/P1/P1-7A/P1-7A-8
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_stack NY CD31 INS no KRT_thumbnail.png,P1_7A2_stack NY CD31 INS no KRT.czi,/optical-clearing/P1/P1-7A/P1-7A-9
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_stack NY KRT CD31 INS stack_thumbnail.png,P1_7A2_stack NY KRT CD31 INS stack.czi,/optical-clearing/P1/P1-7A/P1-7A-10
assets/thumbnails/P1-7A-optical-clearing/P1_7A2_tile scan CD31 INS_thumbnail.png,P1_7A2_tile scan CD31 INS.czi,/optical-clearing/P1/P1-7A/P1-7A-11
